epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,11.1116,1.15727,0.33333,1,1.28595,7.145e-05,7.145e-05,7.145e-05
2,22.3662,1.06864,0.66667,1,0.77341,0.000149409,0.000149409,0.000149409
3,32.9322,0.90317,0.88889,1,0.57425,0.00021888,0.00021888,0.00021888
4,43.0623,0.8558,0.55556,1,0.64147,0.000279863,0.000279863,0.000279863
5,53.246,0.7567,0.55556,1,0.70583,0.000332357,0.000332357,0.000332357
6,63.1406,0.55272,0.77778,1,0.58515,0.000376363,0.000376363,0.000376363
7,73.4171,0.50912,0.77778,1,0.52743,0.000411881,0.000411881,0.000411881
8,83.3817,0.421,0.77778,1,0.4582,0.00043891,0.00043891,0.00043891
9,93.769,0.3541,0.77778,1,0.36918,0.000457451,0.000457451,0.000457451
10,104.159,0.27942,0.77778,1,0.32248,0.000467504,0.000467504,0.000467504
11,114.663,0.26343,0.77778,1,0.32052,0.000469069,0.000469069,0.000469069
12,124.42,0.18685,0.77778,1,0.30913,0.000462146,0.000462146,0.000462146
13,134.363,0.18411,1,1,0.23556,0.000446734,0.000446734,0.000446734
14,144.914,0.17699,1,1,0.18208,0.000422834,0.000422834,0.000422834
15,157.345,0.22974,1,1,0.14997,0.000390446,0.000390446,0.000390446
16,168.871,0.24969,1,1,0.14378,0.000349569,0.000349569,0.000349569
17,180.712,0.11549,1,1,0.15247,0.000297232,0.000297232,0.000297232
18,190.958,0.10665,1,1,0.15535,0.000226497,0.000226497,0.000226497
19,200.822,0.08236,1,1,0.15406,0.000155761,0.000155761,0.000155761
20,210.677,0.08338,0.88889,1,0.2173,8.50255e-05,8.50255e-05,8.50255e-05
